 
****************************************
Report : cell
Design : mem_system
Version: Q-2019.12-SP3
Date   : Sun Apr 25 16:03:03 2021
****************************************

Attributes:
    b - black box (unknown)
    h - hierarchical
    n - noncombinational
    p - parameterized
    r - removable
    u - contains unmapped logic

Cell                      Reference       Library             Area  Attributes
--------------------------------------------------------------------------------
RD_ff                     dff_254                         11.732500 h, n
U539                      INVX1           gscl45nm        1.407900  
U540                      MUX2X1          gscl45nm        3.754400  
U541                      INVX1           gscl45nm        1.407900  
U542                      INVX1           gscl45nm        1.407900  
U543                      INVX1           gscl45nm        1.407900  
U544                      INVX1           gscl45nm        1.407900  
U545                      INVX1           gscl45nm        1.407900  
U546                      INVX1           gscl45nm        1.407900  
U547                      INVX1           gscl45nm        1.407900  
U548                      INVX1           gscl45nm        1.407900  
U549                      INVX1           gscl45nm        1.407900  
U550                      INVX1           gscl45nm        1.407900  
U551                      INVX1           gscl45nm        1.407900  
U552                      INVX1           gscl45nm        1.407900  
U553                      INVX1           gscl45nm        1.407900  
U554                      INVX1           gscl45nm        1.407900  
U555                      INVX1           gscl45nm        1.407900  
U556                      INVX1           gscl45nm        1.407900  
U557                      INVX1           gscl45nm        1.407900  
U558                      INVX1           gscl45nm        1.407900  
U559                      INVX1           gscl45nm        1.407900  
U560                      INVX1           gscl45nm        1.407900  
U561                      INVX1           gscl45nm        1.407900  
U562                      INVX1           gscl45nm        1.407900  
U563                      INVX1           gscl45nm        1.407900  
U564                      INVX1           gscl45nm        1.407900  
U565                      INVX1           gscl45nm        1.407900  
U566                      INVX1           gscl45nm        1.407900  
U567                      INVX1           gscl45nm        1.407900  
U568                      INVX1           gscl45nm        1.407900  
U569                      INVX1           gscl45nm        1.407900  
U570                      INVX1           gscl45nm        1.407900  
U571                      INVX1           gscl45nm        1.407900  
U572                      INVX1           gscl45nm        1.407900  
U573                      INVX1           gscl45nm        1.407900  
U574                      BUFX2           gscl45nm        2.346500  
U575                      INVX1           gscl45nm        1.407900  
U576                      BUFX2           gscl45nm        2.346500  
U577                      INVX1           gscl45nm        1.407900  
U578                      INVX4           gscl45nm        3.285100  
U579                      AND2X2          gscl45nm        2.815800  
U580                      INVX1           gscl45nm        1.407900  
U581                      INVX1           gscl45nm        1.407900  
U582                      NOR2X1          gscl45nm        2.346500  
U583                      INVX1           gscl45nm        1.407900  
U584                      INVX1           gscl45nm        1.407900  
U585                      INVX1           gscl45nm        1.407900  
U586                      INVX1           gscl45nm        1.407900  
U587                      INVX8           gscl45nm        3.285100  
U588                      NAND3X1         gscl45nm        2.346500  
U589                      NAND3X1         gscl45nm        2.346500  
U590                      NAND3X1         gscl45nm        2.346500  
U591                      NAND3X1         gscl45nm        2.346500  
U592                      NOR3X1          gscl45nm        2.815800  
U593                      NAND2X1         gscl45nm        1.877200  
U594                      NOR2X1          gscl45nm        2.346500  
U595                      NAND3X1         gscl45nm        2.346500  
U596                      NAND2X1         gscl45nm        1.877200  
U597                      NAND3X1         gscl45nm        2.346500  
U598                      NAND3X1         gscl45nm        2.346500  
U599                      AOI22X1         gscl45nm        3.285100  
U600                      NAND3X1         gscl45nm        2.346500  
U601                      NOR3X1          gscl45nm        2.815800  
U602                      NAND3X1         gscl45nm        2.346500  
U603                      NAND3X1         gscl45nm        2.346500  
U604                      NAND3X1         gscl45nm        2.346500  
U605                      NOR2X1          gscl45nm        2.346500  
U606                      NAND3X1         gscl45nm        2.346500  
U607                      NAND3X1         gscl45nm        2.346500  
U608                      NAND3X1         gscl45nm        2.346500  
U609                      AOI22X1         gscl45nm        3.285100  
U610                      AOI22X1         gscl45nm        3.285100  
U611                      AOI22X1         gscl45nm        3.285100  
U612                      AOI22X1         gscl45nm        3.285100  
U613                      AOI22X1         gscl45nm        3.285100  
U614                      NAND3X1         gscl45nm        2.346500  
U615                      OAI21X1         gscl45nm        2.815800  
U616                      NAND2X1         gscl45nm        1.877200  
U617                      AOI22X1         gscl45nm        3.285100  
U618                      NAND2X1         gscl45nm        1.877200  
U619                      AOI22X1         gscl45nm        3.285100  
U620                      NAND2X1         gscl45nm        1.877200  
U621                      AOI22X1         gscl45nm        3.285100  
U622                      NAND2X1         gscl45nm        1.877200  
U623                      AOI22X1         gscl45nm        3.285100  
U624                      NAND2X1         gscl45nm        1.877200  
U625                      AOI22X1         gscl45nm        3.285100  
U626                      NAND2X1         gscl45nm        1.877200  
U627                      AOI22X1         gscl45nm        3.285100  
U628                      NAND2X1         gscl45nm        1.877200  
U629                      AOI22X1         gscl45nm        3.285100  
U630                      NAND2X1         gscl45nm        1.877200  
U631                      AOI22X1         gscl45nm        3.285100  
U632                      NAND2X1         gscl45nm        1.877200  
U633                      AOI22X1         gscl45nm        3.285100  
U634                      NAND2X1         gscl45nm        1.877200  
U635                      AOI22X1         gscl45nm        3.285100  
U636                      NAND2X1         gscl45nm        1.877200  
U637                      AOI22X1         gscl45nm        3.285100  
U638                      NAND2X1         gscl45nm        1.877200  
U639                      AOI22X1         gscl45nm        3.285100  
U640                      NAND2X1         gscl45nm        1.877200  
U641                      AOI22X1         gscl45nm        3.285100  
U642                      NAND2X1         gscl45nm        1.877200  
U643                      AOI22X1         gscl45nm        3.285100  
U644                      NAND2X1         gscl45nm        1.877200  
U645                      AOI22X1         gscl45nm        3.285100  
U646                      NAND2X1         gscl45nm        1.877200  
U647                      AOI22X1         gscl45nm        3.285100  
U648                      NAND2X1         gscl45nm        1.877200  
U649                      NAND2X1         gscl45nm        1.877200  
U650                      OAI21X1         gscl45nm        2.815800  
U651                      AOI22X1         gscl45nm        3.285100  
U652                      NAND3X1         gscl45nm        2.346500  
U653                      NAND3X1         gscl45nm        2.346500  
U654                      NOR3X1          gscl45nm        2.815800  
U655                      AND2X2          gscl45nm        2.815800  
U656                      NAND3X1         gscl45nm        2.346500  
U657                      OAI21X1         gscl45nm        2.815800  
U658                      MUX2X1          gscl45nm        3.754400  
U659                      MUX2X1          gscl45nm        3.754400  
U660                      MUX2X1          gscl45nm        3.754400  
U661                      MUX2X1          gscl45nm        3.754400  
U662                      MUX2X1          gscl45nm        3.754400  
U663                      INVX2           gscl45nm        1.877200  
U664                      NAND3X1         gscl45nm        2.346500  
U665                      NAND2X1         gscl45nm        1.877200  
U666                      OAI21X1         gscl45nm        2.815800  
U667                      NAND2X1         gscl45nm        1.877200  
U668                      OAI21X1         gscl45nm        2.815800  
U669                      NAND2X1         gscl45nm        1.877200  
U670                      OAI21X1         gscl45nm        2.815800  
U671                      NAND2X1         gscl45nm        1.877200  
U672                      OAI21X1         gscl45nm        2.815800  
U673                      NAND2X1         gscl45nm        1.877200  
U674                      OAI21X1         gscl45nm        2.815800  
U675                      OAI21X1         gscl45nm        2.815800  
U676                      NOR3X1          gscl45nm        2.815800  
U677                      NAND3X1         gscl45nm        2.346500  
U678                      MUX2X1          gscl45nm        3.754400  
U679                      OAI21X1         gscl45nm        2.815800  
U680                      NAND2X1         gscl45nm        1.877200  
U681                      AOI21X1         gscl45nm        2.815800  
U682                      NAND3X1         gscl45nm        2.346500  
U683                      AOI22X1         gscl45nm        3.285100  
U684                      NOR3X1          gscl45nm        2.815800  
U685                      NAND3X1         gscl45nm        2.346500  
U686                      NAND3X1         gscl45nm        2.346500  
U687                      NOR3X1          gscl45nm        2.815800  
U688                      NAND3X1         gscl45nm        2.346500  
U689                      NOR3X1          gscl45nm        2.815800  
U690                      NAND2X1         gscl45nm        1.877200  
U691                      MUX2X1          gscl45nm        3.754400  
U692                      MUX2X1          gscl45nm        3.754400  
U693                      MUX2X1          gscl45nm        3.754400  
U694                      MUX2X1          gscl45nm        3.754400  
U695                      MUX2X1          gscl45nm        3.754400  
U696                      MUX2X1          gscl45nm        3.754400  
U697                      MUX2X1          gscl45nm        3.754400  
U698                      MUX2X1          gscl45nm        3.754400  
U699                      MUX2X1          gscl45nm        3.754400  
U700                      MUX2X1          gscl45nm        3.754400  
U701                      MUX2X1          gscl45nm        3.754400  
U702                      MUX2X1          gscl45nm        3.754400  
U703                      MUX2X1          gscl45nm        3.754400  
U704                      MUX2X1          gscl45nm        3.754400  
U705                      MUX2X1          gscl45nm        3.754400  
U706                      MUX2X1          gscl45nm        3.754400  
U707                      MUX2X1          gscl45nm        3.754400  
U708                      MUX2X1          gscl45nm        3.754400  
U709                      MUX2X1          gscl45nm        3.754400  
U710                      MUX2X1          gscl45nm        3.754400  
U711                      MUX2X1          gscl45nm        3.754400  
U712                      MUX2X1          gscl45nm        3.754400  
U713                      MUX2X1          gscl45nm        3.754400  
U714                      MUX2X1          gscl45nm        3.754400  
U715                      MUX2X1          gscl45nm        3.754400  
U716                      AOI22X1         gscl45nm        3.285100  
U717                      NAND3X1         gscl45nm        2.346500  
U718                      AOI21X1         gscl45nm        2.815800  
U719                      NAND2X1         gscl45nm        1.877200  
U720                      AND2X2          gscl45nm        2.815800  
U721                      NAND3X1         gscl45nm        2.346500  
U722                      NOR2X1          gscl45nm        2.346500  
U723                      NOR2X1          gscl45nm        2.346500  
U724                      NOR2X1          gscl45nm        2.346500  
U725                      NOR2X1          gscl45nm        2.346500  
U726                      NOR2X1          gscl45nm        2.346500  
U727                      NOR2X1          gscl45nm        2.346500  
U728                      NOR2X1          gscl45nm        2.346500  
U729                      NOR2X1          gscl45nm        2.346500  
U730                      NOR2X1          gscl45nm        2.346500  
U731                      NOR2X1          gscl45nm        2.346500  
U732                      NOR2X1          gscl45nm        2.346500  
U733                      NOR2X1          gscl45nm        2.346500  
U734                      NOR2X1          gscl45nm        2.346500  
U735                      NOR2X1          gscl45nm        2.346500  
U736                      NOR2X1          gscl45nm        2.346500  
U737                      NOR2X1          gscl45nm        2.346500  
WR_ff                     dff_253                         11.732500 h, n
addr_ff[0]                dff_216                         11.732500 h, n
addr_ff[1]                dff_217                         11.732500 h, n
addr_ff[2]                dff_218                         11.732500 h, n
addr_ff[3]                dff_219                         11.732500 h, n
addr_ff[4]                dff_220                         11.732500 h, n
addr_ff[5]                dff_221                         11.732500 h, n
addr_ff[6]                dff_222                         11.732500 h, n
addr_ff[7]                dff_223                         11.732500 h, n
addr_ff[8]                dff_224                         11.732500 h, n
addr_ff[9]                dff_225                         11.732500 h, n
addr_ff[10]               dff_226                         11.732500 h, n
addr_ff[11]               dff_227                         11.732500 h, n
addr_ff[12]               dff_228                         11.732500 h, n
addr_ff[13]               dff_229                         11.732500 h, n
addr_ff[14]               dff_230                         11.732500 h, n
addr_ff[15]               dff_231                         11.732500 h, n
c0                        cache_cache_id0                 48278.767385
                                                                    h, n, p
c_datain_reg<0>           LATCH           gscl45nm        5.162300  n
c_datain_reg<1>           LATCH           gscl45nm        5.162300  n
c_datain_reg<2>           LATCH           gscl45nm        5.162300  n
c_datain_reg<3>           LATCH           gscl45nm        5.162300  n
c_datain_reg<4>           LATCH           gscl45nm        5.162300  n
c_datain_reg<5>           LATCH           gscl45nm        5.162300  n
c_datain_reg<6>           LATCH           gscl45nm        5.162300  n
c_datain_reg<7>           LATCH           gscl45nm        5.162300  n
c_datain_reg<8>           LATCH           gscl45nm        5.162300  n
c_datain_reg<9>           LATCH           gscl45nm        5.162300  n
c_datain_reg<10>          LATCH           gscl45nm        5.162300  n
c_datain_reg<11>          LATCH           gscl45nm        5.162300  n
c_datain_reg<12>          LATCH           gscl45nm        5.162300  n
c_datain_reg<13>          LATCH           gscl45nm        5.162300  n
c_datain_reg<14>          LATCH           gscl45nm        5.162300  n
c_datain_reg<15>          LATCH           gscl45nm        5.162300  n
c_offset_reg<0>           LATCH           gscl45nm        5.162300  n
c_offset_reg<1>           LATCH           gscl45nm        5.162300  n
c_offset_reg<2>           LATCH           gscl45nm        5.162300  n
c_tagin_reg<0>            LATCH           gscl45nm        5.162300  n
c_tagin_reg<1>            LATCH           gscl45nm        5.162300  n
c_tagin_reg<2>            LATCH           gscl45nm        5.162300  n
c_tagin_reg<3>            LATCH           gscl45nm        5.162300  n
c_tagin_reg<4>            LATCH           gscl45nm        5.162300  n
data_ff[0]                dff_232                         11.732500 h, n
data_ff[1]                dff_233                         11.732500 h, n
data_ff[2]                dff_234                         11.732500 h, n
data_ff[3]                dff_235                         11.732500 h, n
data_ff[4]                dff_236                         11.732500 h, n
data_ff[5]                dff_237                         11.732500 h, n
data_ff[6]                dff_238                         11.732500 h, n
data_ff[7]                dff_239                         11.732500 h, n
data_ff[8]                dff_240                         11.732500 h, n
data_ff[9]                dff_241                         11.732500 h, n
data_ff[10]               dff_242                         11.732500 h, n
data_ff[11]               dff_243                         11.732500 h, n
data_ff[12]               dff_244                         11.732500 h, n
data_ff[13]               dff_245                         11.732500 h, n
data_ff[14]               dff_246                         11.732500 h, n
data_ff[15]               dff_247                         11.732500 h, n
m_data_in_reg<0>          LATCH           gscl45nm        5.162300  n
m_data_in_reg<1>          LATCH           gscl45nm        5.162300  n
